[main_menu]|en|fi|pt|ru|zh|ja|ko|de|fr
new_version|There is a new version available.|Uusi versio on saatavilla.|Existe uma nova versão disponível.|Доступна новая версия.|有可用的新版本。|利用可能な新しいバージョンがあります。|사용할 수있는 새로운 버전이 있습니다.|Eine neue Spielversion ist verfügbar.|Une nouvelle version est disponible.
update_game|Update your game.|Päivitä pelisi.|Atualize seu jogo.|Обновите свою игру.|更新您的游戏。|あなたのゲームを更新します。|게임을 업데이트합니다.|Aktualisiere dein Spiel.|Mettez à jour votre jeu.
account_disabled|Your account has been disabled.|Tilisi on poistettu käytöstä.|Sua conta foi desativada.|Ваш аккаунт был отключен.|您的帐户已禁用。|あなたのアカウントが無効になっています。|계정이 비활성화되었습니다.|Dein Konto wurde deaktiviert.|Votre compte a été désactivé.
moderator_kicked|You have been kicked out by a moderator.|Moderaattori potkaisi sinut ulos.|Você foi expulso por um moderador. |Вас исключил модератор. |您已被版主踢出。 |あなたはモデレーターによって追い出されました。 |당신은 관리자에 의해 추방되었습니다. |Sie wurden von einem Moderator rausgeworfen. |Vous avez été expulsé par un modérateur. 
reason|Reason|Syy|Razão|Причина|原因|理由|이유|Grund|Motif
logged_in_elsewhere|Your account has logged in elsewhere.|Tilisi on kirjautunut muualla.|Sua conta fez login em outro lugar.|В вашу учетную запись выполнен вход в другом месте.|您的帐户登录其它地方。|あなたのアカウントは別の場所でログインしています。|계정이 다른 곳에서 로그인 한.|Auf ihr Konto wurde von woanders zugegriffen.|Votre compte est connecté ailleurs.
support_120hz|Please make sure your setup supports 120Hz to avoid performance issues.|Varmista, että laitteistosi tukee 120Hz välttääksesi suorituskykyongelmia.|Certifique-se de que sua configuração seja compatível com 120Hz para evitar problemas de desempenho.|Убедитесь, что ваша установка поддерживает частоту 120 Гц, чтобы избежать проблем с производительностью.|确保您的安装程序支持的120Hz，以避免出现性能问题。|パフォーマンスの問題を避けるために、 必ずセットアップのサポートの 120Hzのを確認します。|성능 문제를 방지하기 위해 반드시 셋업 지원의 120Hz를 확인합니다.|Um Leistungsprobleme zu vermeiden, stellen Sie sicher das ihr Computer 120 Hz unterstützt.|Veillez à ce que votre système prenne en charge la fréquence de 120 Hz afin d'éviter tout problème de performance.
support_144hz|Please make sure your setup supports 144Hz to avoid performance issues.|Varmista, että laitteistosi tukee 144Hz välttääksesi suorituskykyongelmia.|Certifique-se de que sua configuração seja compatível com 144Hz para evitar problemas de desempenho.|Убедитесь, что ваша установка поддерживает частоту 144 Гц, чтобы избежать проблем с производительностью.|确保您的安装程序支持的144Hz，以避免出现性能问题。|パフォーマンスの問題を避けるために、 必ずセットアップのサポートの 144Hzのを確認します。|성능 문제를 방지하기 위해 반드시 셋업 지원의 144Hz를 확인합니다.|Um Leistungsprobleme zu vermeiden, stellen Sie sicher das ihr Computer 144 Hz unterstützt.|Veillez à ce que votre système prenne en charge la fréquence de 144 Hz afin d'éviter tout problème de performance.
privacy_policy|Privacy Policy|Tietosuojakäytäntö|Política de Privacidade|политика конфиденциальности|隐私政策|個人情報保護方針|개인 정보 정책|Datenschutz-Bestimmungen|Politique de confidentialité
privacy_policy_msg1|We have updated our Privacy Policy.|Olemme päivittäneet tietosuojakäytäntömme.|Atualizamos nossa Política de Privacidade.|Мы обновили нашу Политику конфиденциальности.|我们已经更新了我们的隐私政策。|プライバシーポリシーを更新しました。|개인 정보 보호 정책이 업데이트되었습니다.|Wir haben unsere Datenschutzrichtlinien aktualisiert.|Nous avons mis à jour notre politique de confidentialité.
privacy_policy_msg2|Please review and accept the changes to continue|Tarkista muutokset ja hyväksy ne jatkaaksesi|Por favor revise e aceite as alterações para continuar|Пожалуйста, просмотрите и примите изменения, чтобы продолжить.|请查看并接受更改以继续|続行するには、変更を確認して同意してください|계속하려면 변경 사항을 검토하고 동의하십시오|Bitte überprüfen und akzeptieren Sie die Änderungen, um fortzufahren|Veuillez lire attentivement et accepter les changements pour continuer
privacy_policy_agree|I have read and agree both the EULA and the Privacy Policy.|Olen lukenut ja hyväksyn EULA:n ja tietosuojakäytännön.|Eu li e concordo com EULA e com a Política de Privacidade|Я прочитал и согласен с Лицензионным соглашением и Политикой конфиденциальности.|我已阅读并同意隐私政策。|私が読んおよびプライバシーポリシーに同意しています。|본인은 개인 정보 보호 정책에 동의합니다.|Ich habe die Datenschutzerklärung gelesen und bin damit einverstanden.|J'ai lu et j'accepte le CLUF et la politique de confidentialité.
privacy_policy_must_agree|EULA and Privacy Policy must be agreed to register.|Rekisteröityminen vaatii EULA:n ja tietosuojakäytännön hyväksymisen.|O EULA e a Política de Privacidade devem ser aceitos para o registro.|Для регистрации необходимо согласиться с лицензионным соглашением и Политикой конфиденциальности.|隐私政策必须同意注册。|プライバシーポリシーは、登録することで合意しなければなりません。|개인 정보 보호 정책 등록하기로 동의해야합니다.|Der Datenschutzerklärung muss für die Registrierung zugestimmt werden.|Le CLUF et la politique de confidentialité doivent être acceptés pour s'inscrire.
privacy_policy_ok|Ok, I accept.|Ok, hyväksyn.|Ok, eu aceito.|Хорошо, я принимаю.|好吧，我接受。|承知しました。|알겠습니다|Okay, ich stimme zu.|Ok, j'accepte.
privacy_policy_not_ok|No, I don't accept.|Ei, en hyväksy.|Não, eu não aceito.|Нет, я не принимаю.|不，我不接受。|いいえ、同意しません。|아니요, 동의하지 않습니다.|Nein, ich stimme nicht zu.|Non, je n'accepte pas.
privacy_policy_i_agree|I agree|Hyväksyn|Eu concordo|Я согласен|我接受|承諾します|동의 함|Ich stimme zu|Je suis d'accord
wormhole_error|Error loading wormhole.|Virhe ladatessa madonreikää.|Erro ao carregar buraco de minhoca|Ошибка загрузки червоточины.|错误加载虫洞。|読み込みエラーワームホール。|오류로드 웜홀.|Fehler beim Laden des Wurmloches.|Erreur lors du chargement du Vortex.
wormhole_disabled|Season wormholes are currently disabled.|Kauden madonreiät eivät ole käytössä.|Buracos de minhoca de temporada estão desativados no momento.|Сезонные червоточины в настоящее время отключены.|目前季节虫洞被禁用。|シーズンワームホールは現在無効になっています。|시즌 웜홀은 현재 비활성화됩니다.|Saison Wurmlöcher sind zur Zeit deaktiviert.|Les Vortex saisonniers sont actuellement désactivés.
wormhole_awarded_start|You have been awarded|Olet ansainnut|Você recebeu|Вам присвоен|您已赢得|ワームホールレベル|웜홀 레벨|Du hast|Vous avez reçu
wormhole_awarded_end_one|Wormhole Level!|Madonreiän tason!|nível de Buraco de Minhoca!|уровень червоточины!|虫洞等级！|を獲得しました！|을 획득했습니다!|Wurmlochlevel erhalten!|niveau de Vortex !
wormhole_awarded_end_many|Wormhole Levels!|Madonreiän tasoa!|nível de Buraco de Minhoca!|уровень червоточины!|虫洞等级！|を獲得しました！|을 획득했습니다!|Wurmlochlevel erhalten!|niveau de Vortex !
unstable_rift_waves|Unstable Rift Waves:|Epävakaa Repeämä Aallot:|Ondas de Fenda Instáveis:|Нестабильные рифтовые волны:|不稳定的裂谷波：|不安定なリフト波：|불안정한 균열 파:|Instabile Risswellen:|Vagues de faille instables :
unstable_rift_cleared|Unstable Rift Cleared|Epävakaa Repeämä Läpäisty|Fenda Instável Limpa|Нестабильный разлом очищен|不稳定的裂痕被清除|不安定なリフトをクリア|불안정한 균열 제거|Instabiler Riss beseitigt|Faille instable nettoyée
legacy|Legacy|Vanha|Legado|Наследие|遗产|レガシー|유산|Erbe|Héritage
event|Event|Tapahtuma|Evento|Событие|事件|イベント|행사|Veranstaltung|Événement
player_two_press|Player 2 press|Pelaaja 2 paina|Jogador 2, pressione|Игрок 2 нажимает|玩家 2 按|プレイヤー2 プレス|플레이어 2 프레스|Spieler 2 drücke|Le deuxième joueur doit appuyer sur
player_two_join|to join.|liittyäksesi peliin.|para participar.|присоединиться.|加入游戏。|ゲームに参加する。|게임에 참여합니다.|um beizutreten.|pour rejoindre la partie.
coop_exit_press|Press|Paina|Pressione|Нажмите|按|協力を終了するには|협력을 종료하려면|Drücken Sie|Appuyez sur
coop_exit_text|to exit Coop|lähteäksesi yhteispelistä|para sair do Coop |чтобы выйти из Сотрудничества |退出合作 |を押してください |를 누르세요 |um die Zusammenarbeit zu beenden |pour quitter la coopération 
guild_invite|Invite to guild|Kutsu kiltaan|Convidar para guilda|Пригласить в гильдию|邀请|招待する|초대|Gildeneinladung|Inviter dans la guilde
guild_promote|Guild Promote|Ylennä|Promover|Продвижение гильдии|促进|プロモート|홍보|Beförderung|Promouvoir
guild_demote|Guild Demote|Alenna|Rebaixar|Понижение уровня гильдии|降级|降格|강등|Degradieren|Rétrograder
guild_remove|Guild Remove|Poista|Remover|Удалить гильдию|去掉|削除する|없애다|Entfernen|Évincer
guild_rep|Guild Reputation|Kilta Maine|Reputação da Guilda|Репутация гильдии|公会声望|ギルドの評判|길드 평판|Gildenruf|Réputation de la guilde
friendly|Friendly|Ystävällinen|Amigável|Дружелюбно|友好|優しいです|친한|Freundlich|Amical
